,review
15,"dirty place, watch, limited english used, reading reviews sounds like complete different hotel stayed, stayed 9/12-9/15 room club level floor 26. say rooms needed updating understatement, not usually care decade style problem decades dirt cause room itch produce rash, case, everytime left room breath did not itch, return room began, carpet multi dark color did lot hide years goodness knows, did not dare walk barefoot, carpet tore doorway tiles loose bathroom, usually hotel remodels starts expensive room remodels long way off.beds beds nothing special, bathroom size closet forget closing door not possible.for need know friends requested handicap room wheelchair, no handicap room, regular room couple shower bars minumum legal requirement, not service personal check bar course spoke complete coherent english, need know want communicate housekeeping staff gift store, incredibly frustrating tell housekeeping leave extra towels draw pictures.the called parking garage unmanned entry completely unsafe, need know, dark shadowed underground exceptionally tight spaces, elevators not clear, actually enter doorways stairs flight reach elevator places, stairways believe town, careful check breeze check, english speaking folks hidden, bar course want money aggrevating you.however note credit card charged twice entire stay having worst time resolving issue, reason feel compelled connecting desk hotel, folks not billing, trying 2 days,  "
16,"worst hotel experience thinking booking room hotel just n't, traveled seattle 3 work colleagues seminar, booked room priceline asking 3-star hotel downtown seattle got reservations renaissance supposedly 4-star hotel, disaster half got rooms i-5 freeway building, noise bad large container trucks rumbling night switch rooms, earplugs did n't help block noise, rooms pretty shabby scratched damaged furniture, complained management asked switch rooms told priceline rooms discounted rooms n't expect quality paying guests, ended having pay extra 25 night just adequate rooms.the half group got rooms hotel, construction going early morning quite late night, rooms terribly noisy earplugs cut noise.the staff acted like complaints guests not able sleep noise old news did n't want hear, acted indignant dare complain extremely rude dismissive.also ice machines broken floors search 3 floors working no attempt fix, no minibar mini refrigerator rooms, spot refigerator used removed all.the renaissance bills 4-star hotel, rating based solely hotel lobby 3 stars, based shabby rooms noise lack service rude staff stretched 1 star stay renaissance hotel,  "
17,"checked early wo n't stay room dirty checked food substances carpet, late night let, got evening no maid service n't provide maid service stay week, furnishings cheap room small simply not worth price, motel 6 masquerading pricier simply not worth,  "
18,"horrible customer service worst hilton possibly worst hotel, trying review guidelines feel important people know kinds business practices ran into.we stayed hilton nights second night having wedding reception hilton.all booking went smoothly room decent exectutive sweet not overpriced got discount having reception there.the problems arrived later reception short summary things happened.-elevators having issues night.-myself reception stuck lobby n't reception elevators not working key card given not working up-the dj closing party early party no staff locking room not allowing entrance gather belongs use reception room additional hour half booked contract-a hilton staff member challenging fist fight telling hit got aggravated insisted let up.-having head security apologize actions said staff member.-finally getting executive suite stay rest night.-having police wife assaulted hilton staff member tried fight putting hand getting security apologized us.-after police left hearing story hour later long elevators broken night manager security officer showed kick mentioned assault glad arrest n't made.-after threatening lawyers involved breach contract told stay.-getting 15 minutes later night manager apologize told work sort discount trouble.-waking morning finding double charged room parking vehicles not ours.-dealing people nice saying work getting charges reversed right back.-finding hilton additional charges not outlined contract consent-being told willing reverse small portion charges staff says story false.so end breached contract refused credit, not sure action burned abuse received,  "
19,"agree worst hilton, absolute worst hilton stayed, gold hh members travel lot absolute worst hilton world, leg week vacation 10 year old daughter took hilton properties south lake tahoe ca way whistler bc, rate hiltons excellentfirst charge 9.95 night use internet room, free wireless internet available executive lounge small converted guest room lobby, went executive lounge comical, business people packed elbow elbow laptops using free internet eating drinking free food, sight, sure de-congest executive lounge did n't charge internet stayed hilton honors floor noticed dirty dishes newspapers hall n't picked days there.the excercise room size walk closet treadmills stepper jammed there.the people provided sort customer service bellmen, desk personnel management delt no customer service skills.my car parked hilton garage window smashed car ransacked, hilton security simply left business card smashed window took time sweep glass ground, discovered hilton security knew car broken let sit smashed window days, did notify, no, series failures hilton staff touch seattle hilton director security, asked n't notified car broken, response not policy not parking manual, hilton honors stated gm contact monday, wednesday no response, finally drafted lenghty letter hilton corporate hq regarding seattle hilton,  "
20,"no miss hotel vanish no miss, hotel far jewel hilton family crown, long-in-the-tooth, room carpet pronounced grease stain temperature difficult control, room pooly lit, taking elevators thrill ride half time floor number display elevator did n't work missed digit elevator rocket past floor open inner doors motion floor making paticularly worrisome small child, interior elevator doors scratched grafitti, businessman continental breakfast place twice making play detective morning, breakfast held tiniest conference rooms gym.internet service room off-line refunds offered ask specifically.the parking garage horrendous caution not rent large long vehicle make u-turn required second floor.chances staying zero,  "
21,"avoid costs place nightmare, understaffed messy, arrived 10 pm guests deep desk telephone continually ringing employee, later lone employee hired week ago, room clean medicinal smell cleaning fluids overwhelming, hallways elevator dirty littered, place absolutely no appeal not close worth 140.00 night,  "
22,"worse stay hotel, no help, concierge no idea sites city espically, finding concierge knew fishermans terminal advised taking cab did, not knowing cabs did not return area, stuck hour calling hotel assistance having tell use nothing, saw guests upset,  "
23,"avoid construction/refurbishment completed stayed sheraton seattle day cruise, hotel perfect location walk downtown restaurants shops, hotel construction entrance poorly marked hotel, taxi driver not pull curb construction materials street, no help luggage no ramp street, lobby offered help luggage, late, check breeze 5 minutes, sets elevators depending floor directed wrong set, fortunately caught error getting, room clean standard outdated shades buff yellow, no gift/sundry shop construction restaurant/bar just cordoned section lobby.i try seattle sheraton construction refurbishment finished not, thought secured felt reasonable rate hotwire not feel hotel worth price,  "
24,"lemon 1 going check recheck 2 days later asked avenune inn heavey luggage 2 days come check desk refuesed, unbeliable, othere average hotelalways luggage recheck 2 days, avenue innis not kindness, not victoria easy hand free trip victoria carrying heavy luggage.2 agency tried fax asked fax nunber avenue inn told disconnet number agency called unable fax desk gave 2nd fax busy line number agency unable fax avenue inn doew not let use customer fax line avenune inn exclude use internet customer unable receive important fax.3since unable fax agent tried room desk said telephone room not working today imagine let customer use intenet overall hotel does not provide fax service nor telephonecommunication service room terrible service not thinking customers, emergency happen family howguest know news., willl not recommend ohters use hotel,  "
25,"budget booked hotel weekend november recommendation clean spartan room travel book not expecting seriously whelmed, room old tired felt dirty, slept fully clothed wore socks times, shower gross sink toilet new clean, pillows felt filled cotton balls bed creaked squeaked slightest movement did walls carpet stained did not feel lock door work, faced lovely strip club, noise outside hotel expected downtown location noise inside hotel obscene, people banging door 3 morning party room not mention felt right bed, walls general paper hear neighbours conversations watching tv.some staff friendly not sharpest location great walk, not reccomend embarresed say stayed,  "
26,"watch bait-and-switch room rates, rooms acceptable, having restaurant bar attached hotel helpful, booked rooms hotels thankfully printed email confirmations showing rates.since initially no doubles available reserved single queen rollaway bed order sisters share room, arrived room queen beds cancelled rollaway.when checked management version rates 30 higher night room, certainly understand days multiple coupons memberships discounts misunderstanding occur, issue email printout took minutes convince fairly hostile desk adjust final bill.after returned home checked visa addition room charges single 34 charge, turns never-seen never-used rollaway, having lengthy discussion long-distance phone called visa disputed charge.ok hotel bad management,  "
27,"disappointed sixth avenue inn nice place stay changes, staff hotel nice tried helpful, not stay sixth avenue inn nor recommend stay, significant changes need, assigned smoking room room, not told room smoking room making reservation, bed like marble slab, pillows lumpy spotted/dirty small, no extra blankets pillows room, mistook bath towel hand towel towels small, towels towels 1 person use, requested ironing board cover board dirty totally grossed, towel cover use, hotel continuously understaffed, hostess busboy running frantically restaurant sad watch try care guests, maid service did n't come room late afternoon, arriving shampoo bottle room opened looked like shampoo missing, usually hotel problems just, bad nice hotel,  "
28,"checked tripadvisor place terrible just reviewers tripadvisor indicates, couple reviews looks like written hotel staff exact opposite real experience.from low quality toiletries inconsistent house keeping property rated 3 star, attempts property unique look succeeds making gag incredibly poor taste decorated, like big joke you.the hotel noisy rooms tiny decor ugly staff average isolated rest seattle view overrated nearby train noisy room stinky, lounge expensive 10 drinks good view absolutely no character, experiencing boring lounge decided not bother restaurant instead cabbed city food.i recommend using tripadvisor pick 4 star hotel instead foolish like pay consequences, fact probably pick highly rated 3 star hotel fare times better did,  "
29,"terrible accomodations ruined impression seattle decided stay hotel hearing work colleague great place stay waterfront seattle, booking stay checked website, talk misleading pictures, got hotel sunday afternoon checked immediately disappointed got hotel hallway room, dirty reminded old college dormitory, hotel room did not overlook water train tracks small clean no drawers clothing no desk work, additionally hotel loaded folks spent weekend hemp fest, not recommend fooled website, heard lady met town dinner highly recommends inn black market alexis wish met earlier think different seattle experience, time, n't waste money edgewater,  "
30,"absolutly worst booked room wife trip seattle edgewater.we ended having plane delays mechanical juneau flt 75. called edgewater inform late arrival, ended arriving late flt 66. finally reached edgewater room not reserved, main issues heating cold night general condition room run, asked desk relocate room, informed no rooms available stay, early morning asked moved asked room accepting, informed room not available 4:00 p.m. desk wanted leave bags, not comfortable accepting room sight unseen charges accrueing day, wife agreed time cancel staythe edgewater refused adjust credit card contacted wwte online reimbursement, received adjustment charges wwte, night business trip seattle,  "
31,"noisy room room beautiful killer view right ballrooms wedding reception going, wife took 40th birthday supposed romantice evening away kids, got noisy 11:00 evening listening muffled 70 music people dancing, manager n't budge giving compensate bad experience, did offer smaller room, stay, stay friday saturday night ask stay far away ballroom possible,  "
32,"sadly disappointing spotty bad service mixed overhyped atmosphere, rooms quaint air conditioning bad n't sleep high hard acheive considering knob broken, suite smallest shower seen no tub, second day took phoned 4 p.m. clean room, fitness center joke, staff friendly completely ineffective valet parking highlight, just looking bed fine, vacation, wo n't,  "
33,"no customer care booked travelocity, flight cancelled snow ice delayed day westin refused refund 1 2 nights, 200+ night hotel bit greedy, not mention view n't great air did n't work barely slept night, expect minimum air work room.still waiting hear travelocity not refund told left town refused got, happily ate cost rental car extra day.we wo n't dealing time soon,  "
34,"disappointed, booking expedia got assigned room average view not elevated floor requested specifically issues housekeeping no attention details hair arrival carpet stains no proper restocking towels soap coffee constantly make requests express annoying.i hotel charmless cold return.other staff friendly,  "
35,"decent hotel aging major way stayed westin 2004 budget not issue acceptable try, experienced second stay forced turn plan rest head westin, issue structural age towers built 1982 interior age rooms no longer make viable option going rate min 240 usd, nov 11th 12th northwest u.s. canada experienced strongest windstorms 2007. acknowledge writing review bad timing present 21st floor n tower days, way guests-including myself-experienced long restless night creaking wood structure wind whistling poorly sealed windows, reviews hotel note point age towers rooms amenities addressed certain westin invest major structural retrofitting sell property avoid needed upgrading, westin workout room pool small comprised 3 bike machines core workout ball,  "
36,"ca n't recommend considering relocating seattle spent nearly week touring area budget.even price 70 night place expected, room hallways dirty smell urine permeated parking lot homeless people sleeping hedges neighboring business.there economical hotels area try instead,  "
37,"unclean terrible service stayed save money 3 day campus visit university washington, arrived told early check asked check bags went walk uw, agreed just desk taking giving check tag okay person walk office just desk area staff hide away room, words 5 seconds reach steal bags, asked store luggage contained camcorder laptop backroom like normal hotel refused, came time check room horrified, chairs badly stained bedskirt, lay towels chairs feel comfortable sitting, lampshade stained coffee blood, not sure did n't care, night choose freeze butt turn ridiculously loud heater, pipes shower head lot visible rust bathroom just did n't clean, worst motel/hotels stayed, know lower standards budget just intolerable,  "
38,"n't bother dump, door room warped room hallway stunk big time, bedding stained pillows box springs, dirty room, offered not better, supposed non-smoking room n't tell, reservations 2 nights tolerate n't money,  "
39,"terrible service, arrived hotel overbooked canceled reservation, desk lady impatient rude, informed cancellation showed person lady did n't offer help hotel, probably better place looked like dump construction worse, walls floors torn no reception area left, lady did n't care situation unwilling help hotel weekend, dozen hotels availability, caused lot unecessary stress n't able mariner game early,  "
40,"n't stay, read reviews book hotel, start arrived desk check booked line wanted credit card, husband tried tell wrong room told quiet fix fix, haha given room number torn piece paper, went rooms dirty non smoking old packages end tables smelled bad, bathroom dirty tile moldey tub painted look clean.. flat king sheets bed not stay bed, air conditioner worked 10 minutes time vey hot room, horrible experience husband friends, kande coulee dam wa,  "
41,"reservation problems thought contacting property directly guess eat long distance charge purpose did n't dial kimpton general number desk make annual reservation thanksgiving weekend, did n't happen, connected did n't know country victoria b.c, come, said zip code did n't exist explain zip code postal codes different stayed 5 times felt service received bordering terrible, asked best possible rate advised 159, said book cheap tickets expedia lot n't price matched, hold ages came saying pulled strings rate want, feel like not going, stay service wine hour safety property agent needs head shake, not feel special, love email management,  "
42,"horrendous service staff desk terrible, bordering rude, no convenience bar key provided tried charge soda room, no vending machines hotel.the mandatory car parking service good expensive 28/day given lower floor deal construction noise street on-ramp freeway, hotel convenient freeway.whatever n't adjacent restaurant, track waitress check out- lounge having breakfast, suggest pay higher price corner crowne plaza,  "
43,"princess pea arrived hour check-in waiting 15 minutes lobby check given key room, shocked desk clerk assigned room couple ahead, thankfully not newlyweds, waiting line spoke clerk shocked thing occurred chose personally check room assigning, presumably felt not human error, not impressed point especially confronted 30/night parking fee, given corner room demonstrated make bright fairly large airy 260 night shoudl, bathroom tiny toilet did not flush adjusted valve tank, t.v, not viewed bed despite offering variety pay view movies, bed worst slept, not kimpton perfect bed boasted brochure, hard cheap king mattress no featherbed non-pillow mattress, bad nights sleep mitigated good black curtains needed augment bad sleep sleep soundproof rooms, hotel potential wonderful lived brochures,  "
44,"noisey not nice expected, work seattle live whidbey island occasionally spend weekend city, spent fair time looking hotels listed trip advisor decided hotel looked nice web, pretty disappointed got room not nice alexis inn market sorrento stayed, room wear tear broken door amour no fan bathroom broken lock mini bar expecting luxury linens bed price paying, worst jack hammers construction just outside window friday evening construction new library, noise subsided 7:30pm got bad start weekend hotel vintage park, noise morning cement poured street, called desk moved room no rooms available, turned expensive noisey weekend,  "
45,"big disappointment desk w hotel august 12-15,2004. arrived 11:30am told n't check till 3pm, no choice open suitcase lobby things need city walking pictures, suitcase placed storage meantime, came 7pm night check, desk girl asked credit card did, asked id picture, told suitcase storage, told need, told not going open suitcase lobby second time humiliating, hotel manager said thing need id n't offer alternative suggested room suitcase open privately, ofer apologies, finally desk girl suggested check staff room suitcase able id picture, agreed this.this shows hotel supposed cool desk hotel manager n't, told staff hotel manager coming day big group 70-80 people incident not pass unnoticed management coordinating people think 10 times decide book w hotel future meeting,  "
46,"cool does n't mean great service just stayed w hotel seattle.bad news.dark lobby suppose cool.dark hallways suppose cool.is poor sevice suppose cool, room service joke, wrong food, cold food, housekeeping 3:30. concierge services non existent, think candles lobby designer clothes young staff hotel means try w,  "
47,"etrocalgary not contemporary funky hotel just cheap dump, n't fooled meagre display called contemporary decorating.the building old tiny tiny rooms bathrooms, rooms stunk damp mildew really old wood, n't new beds rooms think bates motel, bathroom decorated small bowl sink left original tubs yuk, fixtures inexpensive no art work flat screen n't mounted wall bedding good, no open luggage barely walk bed, elevator lift fitting just 2-3 people long waits, halls rooms scarey dark narrow, not impressive area hotel, clearly hotel cheap cosmetic decoration slip 3 star categary dump, putting avedia products bathroom does n't make smell size decor room size comparable hostel not 3 star hotel, strongly recommend paying bit staying lots options, night hotel max ruin vacation,  "
48,"reading reviews felt good idea expect, rooms definitely small, crazy small, bathroom barely fits sink toilet room shower rooms diff, configurations bathrooms split, basically room bed long desk flat screen tv propped, talks great customer service opposite experience, got late driving 5 hours whistler, got night manager checked, did n't ask needed help bags, grabbed luggage carts no idea bellperson point loaded cars, got elevator, basically order luggage carts elevator need degree geometry, dead tired trying luggage carts elevator night manager just standing talking valet guy possibly bellperson, nobody offers help help, just let struggle, unreal, not sure customer service comments come definitely did not remotely resembling customer service, not stay, roosevelt stayed departing whistler street cheaper times better,  "
49,"terrible driveway/valet experience stay lot hotels upper-end, doubletree major service/management problems, dropped wife left return car sea-tac airport, total pieces luggage, zero help valet, indide hotel trying checkin area not single bellhop moved muscle help, bothered rotator cuff got no help getting bags hotel hotel, called cellphone told miserable service, initially arrived hotel lazy woman gated entrance hotel barely rouse inside booth bothered question dropping bags, miserable attitude, met ones like, later parking outside car attendants contracted company, service awful wo n't, clearly inside service bad outside, wife normally mild retired ceo major institution livid, big airport hotel no food service prior 6am room service seattle cross-country flights leave early early airport early, no help baggage, clear impression bellhops n't provide service hired, n't hire n't muscle, concept service alien property, combination plus outside contracted driveway services lethal, eventually probably discussion returned property desk manager came room apologize, good service, good service received, arrived hotel hotel andra downtown seattle, excellent. early departure sea-tac early, did n't stay no recommendations hotel location no class,  "
50,"hairy scary stayed location times generally satisfied visit discovered bed linens not changed, bed appeared properly spotted stains pillow numerous body hairs scattered sheet.the night manager took complaint listened passively apology informed bellhop sent key room,  "
51,"dreadful hotel embodiment downside priceline way, couple weeks prior arrival sent e-mails hotel attempt confirm reservation, reponded, called afternoon arrival, explained no bothered respond e-mails, clerk no answer, asked confirm verbally took heard shuffling papers background, returned phone gave uncertain tentative verbal confirmation.we arrived quite late 11:30 p.m. advised hotel e-mails verbally afternoon case, gave desk clerk advised did not reservation, claimed reservation june 6 not july 6 ridiculous especially handed priceline e-mail confirmation july 6. simply shrugged read, said did room ground floor good thing no elevators, completely exhausted long train ride vancouver, dragged bags assigned room written stickie note add, inserted card key appropriate door not open, couple attempts turned handle try enter, heard loud male voice shoot, needless say beat hasty retreat desk, time manager desk clerk, appeared just awakened, unshaven shirt n't tucked, looked like slob looked like, told happened said clerk newly-hired mistake duh, gave card key stickie note room assignment, demanded accompany, wife said guy going shoot going, favorite night manager actually called guy awakened apologize, hear screaming manager undoubtedly awakened second floor room eventually occupied truly nasty-looking dragging luggage flight fo steps pleasure, cramped bleak decrepit, practically wall paper peeling, bed creaked tiny movement, aching morning, awful hotel experiences, enter peril,  "
52,"stay no options did not enjoyable stay hotel, arrived took nearly 30 minutes checked, desk disorganized understaffed, despite fact reserved room queen beds people 65 night given room single king sized bed, checked given key room guests, returned desk different key no, wait lobby 15 minutes returned, room basic, nothing excited, things thermostat did not work unable shut air conditioning.the day checking called manager requested refund, listening problems encoutered granted refund 65,  "
53,"rude desk manager place ridiculous, 89.99 hotel smells old dirt customer service rude, hotel not airport reported given room bedbugs room, complained lady did best desk asked speak management rude told nothing change room, nice job bites,  "
54,"wrong hotel looked room resrvied smeeled vomit, not red lion accross airport 4 miles north, cant smell nose lol smoke did not say night thank god time fine hotel,  "
55,"avoid costs, book hotel smit nights early june 2007. lasted 1 night, hotel quite literally building site, radiators double glazing panels left lying workmens equipment floors, lift operation stairs quite frankly dangerous, room not clean wallpaper hanging walls carpet disgusting stunk stale cigarettes holes ceiling, bed date passed years ago, clearly hear guests doing door, paper walls cap badly bitten infestation night, ended clothes bed bed n't clean, hotel needs closed fully refurbished, location totally misrepresents appalling quality disgusting, use peril,  "
56,"good location problems hotel good location close train station darling harbour china town paddys market etc.although staff rude not friendly, deactivated card room caused lift not work, stuck lift daughter scared shaking did n't apology, tried charge extra booking hotel room,  "
57,"hate sterling hotel dallas pictures website deceiving, hotel dirty beds old cave middle, cater truck drivers, personnel rude, stay hotel, cost way average, total score,  "
58,"trip twilight zone friend stayed sterling hotel dallas birthday march 2004. hotel not close room assigned floor rennovations, loud hammering woke dawn morning, awoken times early morning phone calls asking did not know, key issued person not listed registration tried enter room sleeping, lights beds did not work air conditioning went suddenly lights mysteriously come, calling maintenance man repair air conditioning ruined 10.00 movie paid, n't unusual went floor night club bar birthday drinks little did know world entering, little informed thought average hotel lounge frequented couples seeking couples, make extremely uncomfortable situation common traveler, totally mind warping experience twilight zone,  "
59,"boston park plaza avoid costs terrible experience, booked priceline got great rate hotel placed floor college model convention, hotel long hallways high ceilings noise generated model un-ers drifted right room midnight 5, needless say no sleep night, calls hotel security trying kids quiet failed solve problem.after sleepless night deliver seminar group 25 hotel conference center, conference participant kept awake night college kids, hotel conference small poorly configured room, worse heating/cooling did not work properly temperature room 81 degrees started seminar, hotel staff failed correct problem making resort opening windows allowing street noise strong winds interrupt seminar.just things n't worse hotel informed conducting drill morning meaning alarms interrupted seminar.the staff response hallway noise staff failure rectify heating problem conference room miserable experience hotel, clearly old grand hotels time passed, better hotel options boston travelers advised avoid boston park plaza costs,  "
60,"pass executive suite not worth money having planned seeing boston 50th birthday chose park plaza staying towers section extra service, no extra service daily breakfast no food arrival concierge room cleaning early stating time breakfast week ended earlier weekend, not literature booking, time difference meant eat early not, having paid extra pampered definitely not hotel stay pampering, concierge itinerary heard, needless say concierge not typically present desk ignored unless engaged conversation previous sentence regarding end result request, pictures rooms online not, rooms old small, queen size bed desk dresser took room wih just small walk-way, hotel convenient park hotels convenient activities boston probably prone customer satisfaction.dissatisfied defninitely not recommend, addition brother-in-law mom died requested leave early hotel.com told park plaza not allow refund day early departure, mind hotel.com advertises changes accomodated, misleading far concerened,  "
61,"really awful hotel based reviews inclusion conde nast traveller gold list shocked eliot hotel, staff incompetent fond giving incorrect answers questions totally unsupervised, wife checked room discover shower fell apart turned knob outfitted shower head unacceptable motel 6. door house heating refused stay closed opened not room refusal remain warm winter night, attending wedding door returning 10 past 12 told limited room service menu available, ordered turkey sandwich told 45 minutes hour crack staff simple meal settled wait meal, 15 minutes later received telling no turkey sandwich left things happen world does hotel pretends high class appointed professional staff long discover n't turkey house, especially things allowed order past arbitrary midnight cutoff, housekeeping staff pounds door 6:15 sunday night turndown way shortly asked return later, got home event untouched room par course mess hotel, stay boston eliot not worth time nor money,  "
62,"totally disappointing planned special trip boston celebrate sister birthday chose eliot hotel, luxury hotel totally disappointing, specifically requested renovated suite main portion room appeared recently painted decorated, bathroom completely unacceptable including grossly mildewed shower stained floor tiles dirty floor leaking industrial commode, soon inspected room requested shown room identical condition, additional items concern mentioned reviews bathroom door did not open 90 degrees poor lighting customer service non-existant load doorman cart luggage wheel elevator hall room, n't wait dismal hotel, spending night checked wonderful room westin copley plaza, not boutique hotel experience westin lovely exceptional customer service,  "
63,"bad place stayed hotel days 12of dec. 14of dec. 2008. hotel run room smelly dirty staff not helpfully all.eating breakfast hotel expencive hungry small portions, gratefull spent days going miami port seven days cruise beautifull ship freedom seas, marseilles hotel,  "
64,"extremely rude, beware, boyfriend stayed hotel novemeber, experience horrible, not hard person not like complain petty things, want warn hotel extremely rude desk help junky not recommend staying, rooms small hotel terrible smell, charged mini bar did not use called reimbursed kept transferring voice mails, heard finally e-mailed sales dept, took month finally reimbursed, save headache different hotel,  "
65,"not stay going miami want place stay, rooms small dirty stains rugs paint chipping showers bugs dirty bedding, pool not better no clean towels available outside help, staff extremely rude helpless, actually not business try fix problem unbelievable, say extremely disgusted experiece,  "
66,"n't hotels website pictures, hello dissapointed hotel, rooms need major renovations, hotel nothing like pictures website, rooms small beds old squeaky basic amenities, stay hotel future,  "
67,"overpriced smelly noisy rude boyfriend stayed memorial day weekend hotel extremely overpriced, hotel stunk food terrible people extremely rude, people let hotel did n't room ran hallways night yelling screaming, called reception advise situation nothing, terrible experience worst place stayed date backpacking hostels better, trust not come,  "
